image,mode,dice,source
J026_Week7_LFOV,binary,0.783661,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week7.nii\metrics.csv
J026_Week7_LFOV.nii.gz,binary,0.783661,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week7.nii\J026_Week7_LFOV_meta.json
K008_Week0_LFOV,binary,0.723536,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K008_Week0.nii\metrics.csv
K008_Week0_LFOV.nii.gz,binary,0.723536,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K008_Week0.nii\K008_Week0_LFOV_meta.json
K018_Week0_LFOV,binary,0.753934,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week0.nii\metrics.csv
K018_Week0_LFOV.nii.gz,binary,0.753934,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week0.nii\K018_Week0_LFOV_meta.json
K018_Week1_LFOV,binary,0.799721,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week1.nii\metrics.csv
K018_Week1_LFOV.nii.gz,binary,0.799721,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week1.nii\K018_Week1_LFOV_meta.json
K018_Week2_LFOV,binary,0.798473,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week2.nii\metrics.csv
K018_Week2_LFOV.nii.gz,binary,0.798473,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week2.nii\K018_Week2_LFOV_meta.json
K018_Week3_LFOV,binary,0.816226,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week3.nii\metrics.csv
